/* L 6 Z 100000 */
/* probabilidad; segundo momento */
0.623600;7696436
0.623700;7695449
0.623800;7693552
0.623900;7692595
0.624000;7689625
0.624100;7684872
0.624200;7729881
0.624300;7727383
0.624400;7725402
0.624500;7723369
0.624600;7717146
0.624700;7714357
0.624800;7711810
0.624900;7707587
0.625000;7715203
0.625100;7713470
0.625200;7712619
0.625300;7706523
0.625400;7704044
0.625500;7698652
0.625600;7695453
0.625700;7690506
0.625800;7646857
0.625900;7642952
0.626000;7641836
0.626100;7638914
0.626200;7634859
0.626300;7632206
0.626400;7627796
0.626500;7624648
0.626600;7627141
0.626700;7625567
0.626800;7622550
0.626900;7618911
0.627000;7617914
0.627100;7616067
0.627200;7612965
0.627300;7615441
0.627400;7613668
0.627500;7612252
0.627600;7609675
0.627700;7607056
0.627800;7603599
0.627900;7599807
0.628000;7596785
0.628100;7525033
0.628200;7519630
0.628300;7514939
0.628400;7510211
0.628500;7506825
0.628600;7503962
0.628700;7499468
0.628800;7496921
0.628900;7563297
0.629000;7559800
0.629100;7554862
0.629200;7552373
0.629300;7550170
0.629400;7546401
0.629500;7541536
0.629600;7513779
0.629700;7509315
0.629800;7507780
0.629900;7503893
0.630000;7500471
0.630100;7495448
0.630200;7493218
0.630300;7490417
0.630400;7495583
0.630500;7492116
0.630600;7487780
0.630700;7484711
0.630800;7481398
0.630900;7477189
0.631000;7473278
0.631100;7468860
0.631200;7468161
0.631300;7463328
0.631400;7461020
0.631500;7458292
0.631600;7455008
0.631700;7452691
0.631800;7450764
0.631900;7445756
0.632000;7468231
0.632100;7466083
0.632200;7462575
0.632300;7458479
0.632400;7455407
0.632500;7453086
0.632600;7448921
0.632700;7404629
0.632800;7400903
0.632900;7398648
0.633000;7394736
0.633100;7390298
0.633200;7387296
0.633300;7384213
0.633400;7382017
0.633500;7426813
0.633600;7420319
0.633700;7417024
0.633800;7417107
0.633900;7412400
0.634000;7408055
0.634100;7404767
0.634200;7398534
0.634300;7385384
0.634400;7382701
0.634500;7377335
0.634600;7373729
0.634700;7368070
0.634800;7366908
0.634900;7365503
0.635000;7361889
0.635100;7360970
0.635200;7356780
0.635300;7353430
0.635400;7350169
0.635500;7349254
0.635600;7346079
0.635700;7340179
0.635800;7348282
0.635900;7341846
0.636000;7338722
0.636100;7336256
0.636200;7330669
0.636300;7323436
0.636400;7319113
0.636500;7314614
0.636600;7225318
0.636700;7221470
0.636800;7217279
0.636900;7214585
0.637000;7210424
0.637100;7207360
0.637200;7203939
0.637300;7202376
0.637400;7223263
0.637500;7218487
0.637600;7215098
0.637700;7212931
0.637800;7208751
0.637900;7204926
0.638000;7200303
0.638100;7251075
0.638200;7247605
0.638300;7244527
0.638400;7242615
0.638500;7238810
0.638600;7233664
0.638700;7230400
0.638800;7225785
0.638900;7182372
0.639000;7176281
0.639100;7172002
0.639200;7168402
0.639300;7162904
0.639400;7161167
0.639500;7157269
0.639600;7152434
0.639700;7186857
0.639800;7185734
0.639900;7181762
0.640000;7176998
0.640100;7173399
0.640200;7173297
0.640300;7168989
0.640400;7118585
0.640500;7115763
0.640600;7112100
0.640700;7108310
0.640800;7103643
0.640900;7099943
0.641000;7095729
0.641100;7090759
0.641200;7040346
0.641300;7037262
0.641400;7033913
0.641500;7031432
0.641600;7029493
0.641700;7025983
0.641800;7022928
0.641900;7019587
0.642000;7060710
0.642100;7057180
0.642200;7054301
0.642300;7048277
0.642400;7044256
0.642500;7041692
0.642600;7039257
0.642700;7034069
0.642800;7110536
0.642900;7105902
0.643000;7099332
0.643100;7095189
0.643200;7093770
0.643300;7089523
0.643400;7084313
0.643500;7080357
0.643600;7094735
0.643700;7092631
0.643800;7090572
0.643900;7084708
0.644000;7082474
0.644100;7077983
0.644200;7074367
0.644300;7071314
0.644400;6965363
0.644500;6963184
0.644600;6957655
0.644700;6952928
0.644800;6952610
0.644900;6949104
0.645000;6943613
0.645100;6919178
0.645200;6915918
0.645300;6913406
0.645400;6908870
0.645500;6903957
0.645600;6899525
0.645700;6895925
0.645800;6891561
0.645900;6935616
0.646000;6931931
0.646100;6928657
0.646200;6924357
0.646300;6921070
0.646400;6919559
0.646500;6917022
0.646600;6911999
0.646700;6952607
0.646800;6947009
0.646900;6944321
0.647000;6939645
0.647100;6934413
0.647200;6931517
0.647300;6926413
0.647400;6881737
0.647500;6878523
0.647600;6872863
0.647700;6868212
0.647800;6866223
0.647900;6864402
0.648000;6862213
0.648100;6856999
0.648200;6860328
0.648300;6858070
0.648400;6853113
0.648500;6849822
0.648600;6844865
0.648700;6842771
